Year,Month,System,TotalVolume_ML
2013,9,Latrobe,241757
2013,9,Loddon,181955
2013,9,Maribyrnong,23248
2013,9,Melbourne,1425846
2013,9,Murray,4347889
2013,9,Ovens,28106
2013,9,South Gippsland,10573
2013,9,Thomson/Macalister,177640
2013,9,Werribee,56118
2013,10,,46808
2013,10,Ballarat,49785
2013,10,Bendigo,126431
2013,10,Broken,40354
2013,10,Campaspe,230587
2013,10,Geelong,87083
2013,10,Glenelg/Wimmera,288050
2013,10,Goulburn,3530565
2013,10,Latrobe,243101
2013,10,Loddon,183846
2013,10,Maribyrnong,23539
2013,10,Melbourne,1452829
2013,10,Murray,4209042
2013,10,Ovens,35483
2013,10,South Gippsland,10573
2013,10,Thomson/Macalister,177040
2013,10,Werribee,58758
2013,11,,42966
2013,11,Ballarat,49766
2013,11,Bendigo,124460
2013,11,Broken,39521
2013,11,Campaspe,213570
2013,11,Geelong,88332
2013,11,Glenelg/Wimmera,275030
2013,11,Goulburn,3377414
2013,11,Latrobe,244545
2013,11,Loddon,178595
2013,11,Maribyrnong,23469
2013,11,Melbourne,1467136
2013,11,Murray,4092782
2013,11,Ovens,37005
2013,11,South Gippsland,10545
2013,11,Thomson/Macalister,176404
2013,11,Werribee,58474
2013,12,,47299
2013,12,Ballarat,47795
2013,12,Bendigo,119936
2013,12,Broken,38162
2013,12,Campaspe,207008
2013,12,Geelong,85470
2013,12,Glenelg/Wimmera,257031
2013,12,Goulburn,3198547
2013,12,Latrobe,243942
2013,12,Loddon,171648
2013,12,Maribyrnong,22868
2013,12,Melbourne,1460544
2013,12,Murray,3729960
2013,12,Ovens,36850
2013,12,South Gippsland,10157
2013,12,Thomson/Macalister,158000
2013,12,Werribee,54863
2014,1,,42648
2014,1,Ballarat,46318
2014,1,Bendigo,114472
2014,1,Broken,34537
2014,1,Campaspe,197772
2014,1,Geelong,80177
2014,1,Glenelg/Wimmera,245056
2014,1,Goulburn,2969704
2014,1,Latrobe,239543
2014,1,Loddon,162080
